アイコン,タイムスタンプ,利用者ID,名前（投稿時）,記録ID,ダンジョン,URL,動画URL,クリアタイム（IGT）,クリアタイム（RTA）,ターン数,到達階層,特記事項,感想,使用キャラ,倒した数,レベル,HP,武器,補正,防具,補正,腕輪1,腕輪2,武器の強さ,盾の強さ,力,ギタン
https://pbs.twimg.com/profile_images/1774814162470027264/iEDukohQ_400x400.jpg,2024/04/23,RCC0003,たまさざれ,RE0001,デッ怪ラッシュ(30F),https://twitter.com/tamasazare/status/1765735985151922289,https://www.youtube.com/watch?v=qDnqs3i-2Z0,0:06:15,,2554,,,記録集作成おつかれさまです！みんなの挑戦も待ってます！,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1261693546165223424/gOGyRwxS_400x400.jpg,2024/04/12,RCC0002,dice,RE0002,とぐろ島の神髄,https://twitter.com/dice445566/status/1778427308887740891,https://www.youtube.com/watch?v=sAS39IgQaN0,1:42:32,,10572,,,壁抜けなし,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1674711895981555714/NVQoe3hs_400x400.jpg,2024/03/15,RCC0004,わんたん,RE0003,デッ怪ラッシュ(30F),https://twitter.com/wantan_39/status/1768300922055368705,https://www.youtube.com/live/jITa96CfnZY?si=j5EZw1rQiYtxHUsc&t=1695,0:07:08,,3017,,,.👀Ｕ,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/882743100229025793/ZouFRlsw_400x400.jpg,2024/03/15,RCC0005,あらん,RE0004,とぐろ島の神髄,https://twitter.com/alanwhite_0828/status/1767668594639540657/photo/1,,1:32:30,,10093,,,登録テストです,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1445205424291016714/timzF3t__400x400.jpg,2024/03/16,RCC0006,ポンズ,RE0006,とぐろ島（初戦撃破）,https://twitter.com/ponzu24/status/1768605449702846789,https://www.youtube.com/watch?v=OO72NL1ExFA,0:02:26,0:04:57,128,,,うまいことハメられたのでわちゃわちゃしてしまいました,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1632076710211616768/bOoL9vZv_400x400.jpg,2024/03/23,RCC0007,イリィ→,RE0008,とぐろ島の神髄（裏）,https://twitter.com/irie1013/status/1771316258727989519,,7:30:00,,25567,,,やったりました​​🥁🥁🥁,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1632076710211616768/bOoL9vZv_400x400.jpg,2024/03/23,RCC0007,イリィ→,RE0009,とぐろ島の神髄,https://twitter.com/irie1013/status/1771317649383071800,,6:05:55,,24387,,,初クリア！,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1512099215090262023/ZJzU1yRE_400x400.jpg,2024/04/03,RCC0009,マムマムル,RE0010,デッ怪ラッシュ(30F),https://twitter.com/HURAININN2006/status/1775172504824446977?t=5D0h4nmjmzF_XNfxAteR-A&s=19,,0:05:42,,2286,,,最後までハラハラドキドキでした💦,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1774814162470027264/iEDukohQ_400x400.jpg,2024/04/25,RCC0003,たまさざれ,RE0013,デッ怪ラッシュ(30F),https://twitter.com/tamasazare/status/1780924467331682543,https://www.youtube.com/watch?v=0fYdsKTTxGY,0:05:42,,2707,,,やっと5分台が出ました。,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1774814162470027264/iEDukohQ_400x400.jpg,2024/04/25,RCC0003,たまさざれ,RE0014,カカ・ルーの神意(10F),https://twitter.com/tamasazare/status/1783137421099708728,https://www.youtube.com/watch?v=7PWw_ijNvyI,0:01:40,,417,,,次は90秒台！,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1632076710211616768/bOoL9vZv_400x400.jpg,2024/08/20,RCC0007,イリィ→,RE0015,鬼木島(99F),https://x.com/irie1013/status/1823426509560012968,,5:46:27,,25440,,,とりあえずクリアして見ました！,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1632076710211616768/bOoL9vZv_400x400.jpg,2024/08/21,RCC0007,イリィ→,RE0016,鬼木島(25F),https://x.com/irie1013/status/1823722373692145763/photo/1,,0:32:44,,2742,,,とりあえずクリア！,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1800252761457721344/Hg4-pj_U_400x400.jpg,2024/08/23,RCC0011,ホトポポ,RE0017,杖と巻物の領域(50F),https://x.com/3ZC1IcUlaNUx0v1/status/1826907979100401860,https://www.youtube.com/watch?v=RmgY9zh7Nm0&t=643s,0:19:47,,,,,20分切り達成うれしいです！,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1800252761457721344/Hg4-pj_U_400x400.jpg,2024/08/23,RCC0011,ホトポポ,RE0018,とぐろ島の神髄,https://www.youtube.com/watch?v=0rMiW5K9Fg8&t=5s,https://www.youtube.com/watch?v=0rMiW5K9Fg8&t=5s,1:41:00,,,,,飛びつきとヤキイモ使い放題ゲーム,竜海シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1800252761457721344/Hg4-pj_U_400x400.jpg,2024/08/23,RCC0011,ホトポポ,RE0019,とぐろ島の神髄,https://www.youtube.com/watch?v=Qp196CQL7IU,https://www.youtube.com/watch?v=Qp196CQL7IU,1:33:56,,,,,恵みガチャで力、HP、満腹度、おにぎり、復活草集めて無茶苦茶するゲーム,狐渇シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/585803515580157954/veQ9EJNb_400x400.jpg,2024/08/25,RCC0010,超絶ふさふさなおっさん,RE0020,カカ・ルーの神意(10F),https://www.nicovideo.jp/watch/sm44021287,https://www.nicovideo.jp/watch/sm44021287,0:03:06,,636,,,動画は音入れるの忘れてました。,竜海シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1708893749131264000/zkyZ0PBQ_400x400.jpg,2024/08/31,RCC0012,おはぎ,RE0021,カカ・ルーの神意(10F),https://youtu.be/vV-adXnq8z0,https://youtu.be/vV-adXnq8z0,0:02:35,,,,,初申請です。,竜海シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1632076710211616768/bOoL9vZv_400x400.jpg,2024/09/07,RCC0007,イリィ→,RE0022,風来街道,https://x.com/irie1013/status/1832121531927032060,,6:26:40,,19703,,,救助1回　セキ大活躍でした！,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1708893749131264000/zkyZ0PBQ_400x400.jpg,2024/09/08,RCC0012,おはぎ,RE0023,デッ怪ラッシュ(30F),https://youtu.be/Kz--rRaEQRg,,0:08:34,,,,,一旦残します,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1708893749131264000/zkyZ0PBQ_400x400.jpg,2024/09/08,RCC0012,おはぎ,RE0024,GoGoダンジョン,https://youtu.be/kHLzD_Ty6l0,,0:00:47,,,,,ガチ勢がやればもっと縮まりそう,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1632076710211616768/bOoL9vZv_400x400.jpg,2024/09/11,RCC0007,イリィ→,RE0025,沈黙の神髄,https://x.com/irie1013/status/1833751510028558738,,3:49:38,,19810,,,敵が少なくてマゼルン合成やりやすくていいですね。,シレン,,,,,,,,,,,,,
https://pbs.twimg.com/profile_images/1132731445/5b6c35ff-s_normal.jpg,2024/12/21,RCX0003,右近,RX0001,鬼木島 99F,,,1:35:37,1:35:37,13260,,,,シレン,424,39,249,めでたい熊手,+13,めでたい御守,+19,気配察知の腕輪,呪いよけの腕輪,20,26,17/17,"25,806"
,2024/12/21,,,RX0002,とくろ島の神髄 99F,,,6:08:24,6:08:24,13004,,,,シレン,333,38,240,なし,,なし,,なし,なし,0,0,17/17,"1,583"
https://pbs.twimg.com/profile_images/1132731445/5b6c35ff-s_normal.jpg,2024/12/21,RCX0003,右近,RX0003,鬼木島 99F,--,,1:35:37,1:35:37,13260,,,,シレン,424,39,249,めでたい熊手,+13,めでたい御守,+19,気配察知の腕輪,呪いよけの腕輪,20,26,17/17,"25,806"
https://pbs.twimg.com/profile_images/1132731445/5b6c35ff-s_normal.jpg,2024/12/21,RCX0003,右近,RX0004,鬼木島 99F,--,,1:35:37,1:35:37,13260,,,,シレン,424,39,249,めでたい熊手,+13,めでたい御守,+19,気配察知の腕輪,呪いよけの腕輪,20,26,17/17,"25,806"
,2024/12/21,RCX0012,,RX0005,鬼木島 25F,--,,0:26:15,0:26:15,2352,,,,シレン,73,18,92,めでたい熊手,-2,鉄塊の大盾,,ジルコンの腕輪,なし,5,15,8/8,"1,413"
,2024/12/21,RCX0006,,RX0006,鬼木島25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,+2,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0006,,RX0007,鬼木島 25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,+2,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0006,,RX0008,鬼木島 25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0006,,RX0009,鬼木島25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,+2,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0006,,RX0010,鬼木島 25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,+2,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0006,,RX0011,鬼木島 25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,+2,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0006,,RX0012,鬼木島 25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,+2,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0006,,RX0013,鬼木島 25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,+2,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0006,,RX0014,鬼木島 25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,+2,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0006,,RX0015,鬼木島 25F,https://x.com/konoplayingthis/status/1836046169564483751,,0:56:30,0:56:30,3765,,,,シレン,135,23,120,ドラゴンキラー,+1,青銅甲の盾,+2,混乱よけの腕輪,なし,10,6,5/8,673
,2024/12/21,RCX0007,,RX0016,鬼木島 99F,https://x.com/stormfogs/status/1837376362707046559,,1:58:59,1:58:59,14362,,,,シレン,515,41,164/259,なし,+2,金食い虫の盾,,気配察知の腕輪,すれちがいの腕輪,18,10,19/20,"5,539"
,2024/12/21,RCX0008,,RX0017,鬼木島 99F,https://x.com/fujimoridms/status/1839330100023898451,,1:58:56,1:58:56,,,,,シレン,,,,なし,+10,ざぶとん,,気配察知の腕輪,道具感知の腕輪,22,,21/21,"1,461"
,2024/12/21,RCX0008,,RX0018,鬼木島 99F,https://x.com/fujimoridms/status/1839330100023898451,,1:58:56,1:58:56,,,,,シレン,,,,なし,+10,ざぶとん,,気配察知の腕輪,道具感知の腕輪,22,,21/21,"1,461"
,2024/12/21,RCX0008,,RX0019,鬼木島 99F,https://x.com/fujimoridms/status/1839330100023898451,,1:58:56,1:58:56,,,,,シレン,,,,なし,+10,ざぶとん,,気配察知の腕輪,道具感知の腕輪,22,,21/21,"1,461"
,2024/12/21,RCX0009,,RX0020,とくろまんの価値,https://x.com/GuitaristYuka/status/1847395959917187293,,2:39:46,2:39:46,17171,,,,シレン,398,35,116,剛剣マンジカブラ,+14,風魔の盾,+18,壁抜けの腕輪,なし,28,31,27/27,"21,650"
,2024/12/21,RCX0009,,RX0021,とくろまんの領域,https://x.com/GuitaristYuka/status/1847395959917187293,,2:39:46,2:39:46,17171,,,,シレン,398,35,116,剛剣マンジカブラ,+14,風魔の盾,+18,壁抜けの腕輪,なし,28,31,27/27,"21,650"
,2024/12/21,RCX0009,,RX0022,とくろまんの領域,https://x.com/GuitaristYuka/status/1847395959917187293,,2:39:46,2:39:46,17171,,,,シレン,398,35,116,剛剣マンジカブラ,+14,風魔の盾,+18,壁抜けの腕輪,なし,28,31,27/27,"21,650"
,2024/12/21,RCX0009,,RX0023,とくろ島の神髄,https://x.com/GuitaristYuka/status/1847395959917187293,,2:39:46,2:39:46,17171,,,,シレン,398,35,116,剛剣マンジカブラ,+14,風魔の盾,+18,壁抜けの腕輪,なし,28,31,27/27,"21,650"
,2024/12/21,RCX0009,,RX0024,とくろまんの領域,https://x.com/GuitaristYuka/status/1847395959917187293,,2:39:46,2:39:46,17171,,,,シレン,398,35,116,剛剣マンジカブラ,+14,風魔の盾,+18,壁抜けの腕輪,なし,28,31,27/27,"21,650"
,2024/12/21,RCX0009,,RX0025,とくろまんの領域,https://x.com/GuitaristYuka/status/1847395959917187293,,2:39:46,2:39:46,17171,,,,シレン,398,35,116,剛剣マンジカブラ,+14,風魔の盾,+18,壁抜けの腕輪,なし,28,31,27/27,"21,650"
,2024/12/21,RCX0009,,RX0026,とくろまんの領域,https://x.com/GuitaristYuka/status/1847395959917187293,,2:39:46,2:39:46,17171,,,,シレン,398,35,116,剛剣マンジカブラ,+14,風魔の盾,+18,壁抜けの腕輪,なし,28,31,27/27,"21,650"
,2024/12/21,RCX0009,,RX0027,とくろまんの領域,https://x.com/GuitaristYuka/status/1847395959917187293,,2:39:46,2:39:46,17171,,,,シレン,398,35,116,剛剣マンジカブラ,+14,風魔の盾,+18,壁抜けの腕輪,なし,28,31,27/27,"21,650"
https://pbs.twimg.com/profile_images/1744328347583455232/iEr2ZwLA_400x400.jpg,2024/12/21,RCX0010,遅くて早い,RX0028,とぐろ島の神髄,https://x.com/slow__fast__/status/1859840569314508972,,8:28:13,8:28:13,43604,,,,シレン,28,62,310/365,鉄塊の大剣,+13,鉄塊の大盾,+13,なし,なし,39,24,16/16,"17,342"
,2024/12/21,RCX0011,,RX0029,超・神髄 99F,https://x.com/d_momoyo/status/1859895102682132591/,,12:49:45,12:49:45,42242,,,,シレン,1729,53,430/430,スパークソード,+20,爆発隠の盾,+29,錆よけの腕輪,ちからの腕輪,28,42,17/17,"32,628"
